name,value,pretty_value,boot_val,unit
max_parallel_maintenance_workers,2,"",2,
max_parallel_workers,8,"",8,
max_parallel_workers_per_gather,2,"",2,
max_pred_locks_per_page,2,"",2,
max_pred_locks_per_relation,-2,"",-2,
max_pred_locks_per_transaction,64,"",64,
max_prepared_transactions,0,"",0,
max_replication_slots,10,"",10,
max_stack_depth,2048,2048 kB,100,kB
max_standby_archive_delay,30000,"",30000,ms
max_standby_streaming_delay,30000,"",30000,ms
max_sync_workers_per_subscription,2,"",2,
max_wal_senders,10,"",10,
max_wal_size,1024,"",1024,MB
max_worker_processes,8,"",8,
min_parallel_index_scan_size,64,512 kB,64,8kB
min_parallel_table_scan_size,1024,8192 kB,1024,8kB
min_wal_size,80,"",80,MB
old_snapshot_threshold,-1,"",-1,min
operator_precedence_warning,off,"",off,
parallel_leader_participation,on,"",on,
parallel_setup_cost,1000,"",1000,
parallel_tuple_cost,0.1,"",0.1,
password_encryption,md5,"",md5,
plan_cache_mode,auto,"",auto,
port,5432,"",5432,
post_auth_delay,0,"",0,s
pre_auth_delay,0,"",0,s
primary_conninfo,"","","",
primary_slot_name,"","","",
promote_trigger_file,"","","",
quote_all_identifiers,off,"",off,
random_page_cost,4,"",4,
recovery_end_command,"","","",
recovery_min_apply_delay,0,"",0,ms
recovery_target,"","","",
recovery_target_action,pause,"",pause,
recovery_target_inclusive,on,"",on,
recovery_target_lsn,"","","",
recovery_target_name,"","","",
recovery_target_time,"","","",
recovery_target_timeline,latest,"",latest,
recovery_target_xid,"","","",
restart_after_crash,on,"",on,
restore_command,"","","",
row_security,on,"",on,
search_path,"""$user"", public","","""$user"", public",
segment_size,131072,1024 MB,131072,8kB
seq_page_cost,1,"",1,
server_encoding,UTF8,"",SQL_ASCII,
server_version,12.12 (Debian 12.12-1.pgdg110+1),"",12.12 (Debian 12.12-1.pgdg110+1),
server_version_num,120012,"",120012,
session_preload_libraries,"","","",
session_replication_role,origin,"",origin,
shared_buffers,16384,128 MB,1024,8kB
shared_memory_type,mmap,"",mmap,
shared_preload_libraries,"","","",
ssl,off,"",off,
ssl_ca_file,"","","",
ssl_cert_file,server.crt,"",server.crt,
ssl_ciphers,HIGH:MEDIUM:+3DES:!aNULL,"",HIGH:MEDIUM:+3DES:!aNULL,
ssl_crl_file,"","","",
ssl_dh_params_file,"","","",
ssl_ecdh_curve,prime256v1,"",prime256v1,
ssl_key_file,server.key,"",server.key,
ssl_library,OpenSSL,"",OpenSSL,
ssl_max_protocol_version,"","","",
ssl_min_protocol_version,TLSv1,"",TLSv1,
ssl_passphrase_command,"","","",
ssl_passphrase_command_supports_reload,off,"",off,
ssl_prefer_server_ciphers,on,"",on,
standard_conforming_strings,on,"",on,
statement_timeout,0,"",0,ms
stats_temp_directory,pg_stat_tmp,"",pg_stat_tmp,
superuser_reserved_connections,3,"",3,
synchronize_seqscans,on,"",on,
synchronous_commit,on,"",on,
synchronous_standby_names,"","","",
syslog_facility,local0,"",local0,
syslog_ident,postgres,"",postgres,
syslog_sequence_numbers,on,"",on,
syslog_split_messages,on,"",on,
tcp_keepalives_count,0,"",0,
tcp_keepalives_idle,0,"",0,s
tcp_keepalives_interval,0,"",0,s
tcp_user_timeout,0,"",0,ms
temp_buffers,1024,8192 kB,1024,8kB
temp_file_limit,-1,"",-1,kB
temp_tablespaces,"","","",
TimeZone,Etc/UTC,"",GMT,
timezone_abbreviations,Default,"",,
trace_notify,off,"",off,
trace_recovery_messages,log,"",log,
trace_sort,off,"",off,
track_activities,on,"",on,
track_activity_query_size,1024,"",1024,B
track_commit_timestamp,off,"",off,
track_counts,on,"",on,
track_functions,none,"",none,
track_io_timing,off,"",off,
transaction_deferrable,off,"",off,
transaction_isolation,read committed,"",read committed,
transaction_read_only,off,"",off,
transform_null_equals,off,"",off,
unix_socket_directories,/var/run/postgresql,"",/var/run/postgresql,
unix_socket_group,"","","",
unix_socket_permissions,0777,"",511,
update_process_title,on,"",on,
vacuum_cleanup_index_scale_factor,0.1,"",0.1,
vacuum_cost_delay,0,"",0,ms
